axis,x,pipeline,seed,shape,n_out,depth,width,macs,macs_eff,nw,n_in,insns,jited,map_bytes,n_maps,tail,build_ms,update_ms,lat_ns,lat_p50,lat_max,mpps,sparsity_real,lookups
depth,5,p1_static,2,65-4-4-4-4-4-7,7,5,4,352,128,379,65,816,3541,2516,5,1,191.8723400001454,11.789,80,89,105,12.5,0.0,
depth,5,hardcoded,2,65-4-4-4-4-4-7,7,5,4,352,128,379,65,1214,5787,2516,5,1,179.35003699994922,12.43,89,92,110,11.235955056179776,0.0,
depth,5,template,2,65-4-4-4-4-4-7,7,5,4,352,128,379,65,17643,79269,141744,10,1,3489.901031000045,7.175123000024541,378,381,553,2.6455026455026456,0.0,
depth,5,modular,2,65-4-4-4-4-4-7,7,5,4,352,128,379,65,12374,57496,150836,13,6,2495.8651770000415,10.520344000042314,648,688,801,1.5432098765432098,0.0,
depth,5,p1_static,3,65-4-4-4-4-4-7,7,5,4,352,128,379,65,822,3570,2516,5,1,182.39120900011585,25.934,75,76,87,13.333333333333334,0.0,
depth,5,hardcoded,3,65-4-4-4-4-4-7,7,5,4,352,128,379,65,1237,5847,2516,5,1,211.95063699997263,24.767,92,107,116,10.869565217391305,0.0,
depth,5,template,3,65-4-4-4-4-4-7,7,5,4,352,128,379,65,17643,79269,141744,10,1,4593.589730999838,12.065186999961952,475,479,483,2.1052631578947367,0.0,
depth,5,modular,3,65-4-4-4-4-4-7,7,5,4,352,128,379,65,12374,57496,150836,13,6,3450.9038689998306,15.927146999956676,782,807,874,1.278772378516624,0.0,
depth,5,p1_static,7,65-4-4-4-4-4-7,7,5,4,352,128,379,65,798,3464,2516,5,1,260.19091200009825,14.676,92,95,105,10.869565217391305,0.0,
depth,5,hardcoded,7,65-4-4-4-4-4-7,7,5,4,352,128,379,65,1203,5754,2516,5,1,248.87686599981862,18.195,103,104,105,9.70873786407767,0.0,
depth,5,template,7,65-4-4-4-4-4-7,7,5,4,352,128,379,65,17643,79269,141744,10,1,4598.066133999964,17.583541000021796,387,448,578,2.5839793281653747,0.0,
depth,5,modular,7,65-4-4-4-4-4-7,7,5,4,352,128,379,65,12374,57496,150836,13,6,2512.3022409998157,9.755969000025289,642,655,694,1.557632398753894,0.0,
depth,6,p1_static,42,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,853,3682,2516,5,1,174.92059699998208,14.152,78,84,95,12.820512820512821,0.0,
depth,6,hardcoded,42,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,1310,6166,2516,5,1,193.92299900005128,19.402,88,95,118,11.363636363636363,0.0,
depth,6,template,42,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,18613,83791,141744,10,1,3496.482224999909,7.010400000126538,423,445,521,2.3640661938534278,0.0,
depth,6,modular,42,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,12374,57496,150836,13,7,2605.4082959999505,10.55467400010457,699,724,893,1.4306151645207439,0.0,
depth,6,p1_static,1,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,839,3622,2516,5,1,170.44136599997728,13.722,76,77,94,13.157894736842104,0.0,
depth,6,hardcoded,1,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,1282,6095,2516,5,1,224.24098299984507,22.359,89,91,100,11.235955056179776,0.0,
depth,6,template,1,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,18613,83791,141744,10,1,3190.821885999867,7.082998999976553,421,426,440,2.375296912114014,0.0,
depth,6,modular,1,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,12374,57496,150836,13,7,2358.9961400000448,18.031553000128042,691,717,788,1.447178002894356,0.0,
depth,6,p1_static,2,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,883,3816,2516,5,1,174.5450470000378,13.973,84,86,110,11.904761904761905,0.0,
depth,6,hardcoded,2,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,1301,6136,2516,5,1,231.2406829998963,15.036,89,92,94,11.235955056179776,0.0,
depth,6,template,2,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,18613,83791,141744,10,1,3242.892501999904,61.7772570001307,427,428,498,2.34192037470726,0.0,
depth,6,modular,2,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,12374,57496,150836,13,7,2550.9750999999596,11.792205000119793,710,727,893,1.408450704225352,0.0,
depth,6,p1_static,3,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,887,3828,2516,5,1,186.34144199995717,16.269,80,83,89,12.5,0.0,
depth,6,hardcoded,3,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,1306,6149,2516,5,1,222.20488000016303,26.07,90,94,108,11.11111111111111,0.0,
depth,6,template,3,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,18613,83791,141744,10,1,3383.7745899998026,11.012426999968739,428,430,536,2.336448598130841,0.0,
depth,6,modular,3,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,12374,57496,150836,13,7,2658.453007999924,8.765603000028932,701,721,973,1.4265335235378032,0.0,
depth,6,p1_static,7,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,869,3743,2516,5,1,156.3004299998738,11.53,81,83,90,12.345679012345679,0.0,
depth,6,hardcoded,7,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,1266,5982,2516,5,1,188.03398399995785,14.007,88,93,110,11.363636363636363,0.0,
depth,6,template,7,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,18613,83791,141744,10,1,3302.785569999969,14.989380000088204,422,431,521,2.3696682464454977,0.0,
depth,6,modular,7,65-4-4-4-4-4-4-7,7,6,4,368,144,399,65,12374,57496,150836,13,7,2310.8682350000436,7.864095000059024,696,706,832,1.4367816091954022,0.0,
